I,P,Q,T,Hydrogen,Oxygen,RH anode,Rh Cathode,V
-0.8867867547364153,-1.0275222094546765,-0.8066377631830423,-1.26144424716395,-1.8732358484994318,-1.2279917195588557,-2.493135725509387,-1.8752733388297123,491.1146188
-0.8867867547364153,-1.0275222094546765,-0.8066377631834407,-1.26144424716395,-1.8729897912880753,-1.2279915247784425,-2.493135725509387,-1.8752733388297123,491.1146188
-0.8867867547364153,-1.0275222094546765,-0.8066377631838383,-1.26144424716395,-1.872671451676602,-1.227991184031199,-2.493135725509387,-1.8752733388297123,491.1146188
-0.8867867547364153,-1.0275222094546765,-0.806637763186175,-1.26144424716395,-1.8705970458102366,-1.2279875064253454,-2.493135725509387,-1.8752733388297123,491.1146189
-0.8867867547364153,-1.0275222094546765,-0.806637763189616,-1.26144424716395,-1.867492863284673,-1.227981103789381,-2.493135725509387,-1.8752733388297123,491.114619
-0.8867867547364153,-1.0275222094546765,-0.8066377631950598,-1.26144424716395,-1.8624429969751437,-1.2279705354117345,-2.493135725509387,-1.8752733388297123,491.1146191
-0.8867867547364153,-1.0275222094546765,-0.8066377632020443,-1.26144424716395,-1.8559078758686942,-1.2279567443897832,-2.493135725509387,-1.8752733388297123,491.1146192
-0.8867867547364153,-1.0275222094546765,-0.8066377632149863,-1.26144424716395,-1.8430356676287176,-1.227930584100721,-2.493135725509387,-1.8752733388297123,491.1146195
-0.8867867547364153,-1.0275222094546765,-0.8066377632349128,-1.26144424716395,-1.8219970334303406,-1.2278898271286314,-2.493135725509387,-1.8752733388297123,491.1146201
-0.8867867547364153,-1.0275222094546765,-0.8066377632526823,-1.26144424716395,-1.8020411499789184,-1.2278538093393427,-2.493135725509387,-1.8752733388297123,491.1146206
-0.8867867547364153,-1.0275222094546765,-0.8066377632631592,-1.26144424716395,-1.7937158017572477,-1.2278329569350177,-2.493135725509387,-1.8752733388297123,491.1146209
-0.8867867547364153,-1.0275222094546765,-0.8066377632733279,-1.26144424716395,-1.7879673706082333,-1.2278135262855332,-2.493135725509387,-1.8752733388297123,491.1146212
-0.8867867547364153,-1.0275222094546765,-0.8066377632878106,-1.26144424716395,-1.781445616794956,-1.2277874607801267,-2.493135725509387,-1.8752733388297123,491.1146217
-0.8867867547364153,-1.0275222094546765,-0.8066377633052719,-1.26144424716395,-1.7748382132883898,-1.2277576039284797,-2.493135725509387,-1.8752733388297123,491.1146223
-0.8867867547364153,-1.0275222094546765,-0.8066377633278691,-1.26144424716395,-1.7677743414742364,-1.227725377485432,-2.493135725509387,-1.8752733388297123,491.1146231
-0.8867867547364153,-1.0275222094546765,-0.806637763356629,-1.26144424716395,-1.7592569002988303,-1.2276907814509836,-2.493135725509387,-1.8752733388297123,491.1146243
-0.8867867547364153,-1.0275222094546765,-0.8066377633966875,-1.26144424716395,-1.7481348172945583,-1.227658555007936,-2.493135725509387,-1.8752733388297123,491.1146259
-0.8867867547364153,-1.0275222094546765,-0.8066377634449631,-1.26144424716395,-1.7314890717005393,-1.2276362808487706,-2.493135725509387,-1.8752733388297123,491.114628
-0.8867867547364153,-1.0275222094546765,-0.8066377634932387,-1.26144424716395,-1.7129456655609885,-1.227625380728328,-2.493135725509387,-1.8752733388297123,491.1146303
-0.8867867547364153,-1.0275222094546765,-0.8066377635661656,-1.26144424716395,-1.6881681499538306,-1.2276192197906866,-2.493135725509387,-1.8752733388297123,491.1146337
-0.8867867547364153,-1.0275222094546765,-0.8066377636432012,-1.26144424716395,-1.6642411902603758,-1.2276177980358463,-2.493135725509387,-1.8752733388297123,491.1146373
-0.8867867547364153,-1.0275222094546765,-0.8066377637757022,-1.26144424716395,-1.6280262225470663,-1.227616850199286,-2.493135725509387,-1.8752733388297123,491.1146437
-0.8867867547364153,-1.0275222094546765,-0.8066377639667502,-1.26144424716395,-1.5824279101117462,-1.2276149545261656,-2.493135725509387,-1.8752733388297123,491.1146532
-0.8867867547364153,-1.0275222094546765,-0.8066377641824497,-1.26144424716395,-1.5377073832614063,-1.2276121110164848,-2.493135725509387,-1.8752733388297123,491.1146641
-0.8867867547364153,-1.0275222094546765,-0.8066377643950678,-1.26144424716395,-1.4980486047589707,-1.227608793588524,-2.493135725509387,-1.8752733388297123,491.1146753
-0.8867867547364153,-1.0275222094546765,-0.8066377646929385,-1.26144424716395,-1.4498659489770096,-1.2276035804874428,-2.493135725509387,-1.8752733388297123,491.1146909
-0.8867867547364153,-1.0275222094546765,-0.8066377651037946,-1.26144424716395,-1.3906607222621696,-1.2275964717132413,-2.493135725509387,-1.8752733388297123,491.1147132
-0.8867867547364153,-1.0275222094546765,-0.8066377655865505,-1.2614442467401816,-1.3293390074617184,-1.227587467265919,-2.493135725509387,-1.8752733388297123,491.1147404
-0.8867867547364153,-1.0275222094546765,-0.8066377660693064,-1.2614442467401816,-1.2749687801957867,-1.2275784628185968,-2.493135725509387,-1.8752733388297123,491.1147683
-0.8867867547364153,-1.0275222094546765,-0.8066377666958621,-1.2614442463164133,-1.2125053995414359,-1.227566614861594,-2.493135725509387,-1.8752733388297123,491.1148051
-0.8867867547364153,-1.0275222094546765,-0.8066377675381171,-1.2614442454688766,-1.1384317821395584,-1.2275509755583502,-2.493135725509387,-1.8752733388297123,491.1148562
-0.8867867547364153,-1.0275222094546765,-0.8066377683701007,-1.2614442450451082,-1.07298997053245,-1.2275353362551065,-2.493135725509387,-1.8752733388297123,491.1149088
-0.8867867547364153,-1.0275222094546765,-0.8066377694280552,-1.2614442433500348,-1.0000664354283213,-1.2275178012787424,-2.493135725509387,-1.8752733388297123,491.1149766
-0.8867867547364153,-1.0275222094546765,-0.8066377708146946,-1.2614442412311928,-0.9158693213306347,-1.2274893661819355,-2.493135725509387,-1.8752733388297123,491.1150685
-0.8867867547364153,-1.0275222094546765,-0.8066377724478477,-1.2614442374172776,-0.8293200587195586,-1.2274609310851288,-2.493135725509387,-1.8752733388297123,491.1151807
-0.8867867547364153,-1.0275222094546765,-0.8066377740707293,-1.2614442327558257,-0.7534492830134076,-1.2274277568055207,-2.493135725509387,-1.8752733388297123,491.1152963
-0.8867867547364153,-1.0275222094546765,-0.8066377761250099,-1.2614442255517635,-0.6690684924058351,-1.2273898433431116,-2.493135725509387,-1.8752733388297123,491.115447
-0.8867867547364153,-1.0275222094546765,-0.8066377787955747,-1.2614442136862491,-0.5754746662929656,-1.2273377123322993,-2.493135725509387,-1.8752733388297123,491.1156464
-0.8867867547364153,-1.0275222094546765,-0.8066377814661394,-1.261444199278125,-0.49473274993784805,-1.227290320504288,-2.493135725509387,-1.8752733388297123,491.1158519
-0.8867867547364153,-1.0275222094546765,-0.8066377848557024,-1.2614441772421698,-0.40685467936846065,-1.227223971945072,-2.493135725509387,-1.8752733388297123,491.1161185
-0.8867867547364153,-1.0275222094546765,-0.8066377890669776,-1.2614441429169325,-0.3116463812913387,-1.2271434058374526,-2.493135725509387,-1.8752733388297123,491.1164712
-0.8867867547364153,-1.0275222094546765,-0.8066377933809669,-1.261444101811401,-0.23184760173226557,-1.2270628397298333,-2.493135725509387,-1.8752733388297123,491.1168337
-0.8867867547364153,-1.0275222094546765,-0.8066377988248103,-1.2614440403649885,-0.1473182856450012,-1.2269585777082086,-2.493135725509387,-1.8752733388297123,491.1173057
-0.8867867547364153,-1.0275222094546765,-0.8066378051930801,-1.2614439577301575,-0.06719076969087634,-1.2268400981381802,-2.493135725509387,-1.8752733388297123,491.117868
